name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;993;0;835;3169;993;3169;1121;0
header;153;139;153;171;1783;171;1783;139
B;1052;390;1052;409;1066;409;1066;390
B;956;827;956;856;979;856;979;827
C;954;1504;954;1533;974;1533;974;1504
A;981;1861;981;1861;982;1861;982;1861
A;1031;1989;1031;2004;1039;2004;1039;1989
D;952;2177;952;2207;976;2207;976;2177
A;963;2728;963;2728;964;2728;964;2728
A;858;2907;858;2908;858;2908;858;2907
A;929;2934;929;2934;930;2934;930;2934
A;840;3074;840;3075;840;3075;840;3074
