name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;261;0;356;3177;1026;3177;1026;0
header;147;157;147;190;1779;190;1779;157
B;850;1179;850;1223;880;1223;880;1179
B;812;1181;812;1224;841;1224;841;1181
B;891;1181;891;1223;922;1223;922;1181
B;690;1353;690;1378;717;1378;717;1353
A;952;1435;952;1464;977;1464;977;1435
A;352;1826;352;1827;353;1827;353;1826
A;510;2110;510;2110;510;2110;510;2110
A;552;2274;552;2274;552;2274;552;2274
B;959;2309;959;2338;980;2338;980;2309
A;934;2538;934;2544;939;2544;939;2538
